type,1,2,3,4,5,6,7,8,9,10
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
attack,9.6360556e-05,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
attack,0.0,0.9983531,0.0,0.9957174,0.99996424,0.0,0.0,0.91492003,0.0,0.98777497
attack,0.0,1.0,1.0,1.0965738e-36,1.0,0.0,0.0,0.0,1.0,1.0
attack,0.0,1.0,5.7320423e-28,0.0,1.0,1.0,1.2829303e-35,1.0,1.0,0.0
normal,0.0,7.0005445e-22,0.0,0.0,0.0,0.0,0.0,6.342221e-30,4.1392694e-33,7.084373e-34
attack,0.0,9.138907e-09,3.6695842e-32,1.09462005e-32,4.8335127e-29,1.0032377e-12,9.1689275e-15,0.0,0.0,0.0
normal,5.723921e-33,0.0,2.9964007e-23,1.5135636e-30,1.34494195e-33,0.0,0.0,6.040316e-26,3.6707284e-34,0.0
attack,0.0,0.0,9.793702e-35,1.0,2.4296512e-32,1.0,3.877624e-34,1.0,0.99999404,1.0
attack,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
attack,0.0,1.0,1.1849148e-21,1.0,1.0,1.0435697e-32,8.0472746e-25,1.0,1.0,0.0
normal,1.9222298e-27,0.0,0.0,7.457107e-36,2.2243232e-17,0.0,0.0,0.0,0.0,2.0136461e-38
attack,0.0,1.0,0.9999994,0.9985936,0.9999887,4.4637637e-27,5.5360476e-30,0.9870356,9.124598e-26,7.4194686e-17
attack,1.5330618e-34,0.0,0.30955267,0.16070288,0.014477968,1.8921709e-32,0.99997467,0.9962664,0.0,7.489277e-25
attack,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.627944e-30,0.0,0.0
normal,0.0,0.0,4.0481684e-25,0.0,0.0,0.0,0.0,2.977887e-36,0.0,0.0
normal,0.0,0.0,3.8482327e-38,2.392256e-25,0.0,0.9999988,2.4261398e-18,0.0,2.5135285e-31,2.153867e-16
normal,0.0,0.0,1.8203537e-35,0.0,0.0,0.0,0.0,0.0,2.8122408e-37,1.4673659e-37
normal,0.0,0.0,0.0,2.8833266e-30,0.0,2.1722427e-16,3.223058e-14,0.0,2.4773096e-30,2.8469389e-25
attack,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
attack,6.1086627e-22,5.268968e-08,1.0,1.0,1.0,1.0,2.2134335e-21,8.049127e-15,1.0,4.825058e-21
normal,1.0295889e-30,0.0,9.5874045e-34,0.0,4.4679124e-38,8.154756e-32,2.6868302e-36,3.2613605e-37,3.8984118e-22,0.0
attack,8.014639e-12,1.0,5.6226514e-29,1.4577755e-29,1.857875e-17,6.39919e-21,1.0351373e-12,1.0,2.0494777e-33,1.0
attack,8.29757e-38,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
normal,8.539443e-29,6.192511e-07,0.0,0.0,1.605665e-29,0.0,7.14819e-35,1.6240277e-37,1.8244136e-35,0.0
attack,3.979656e-37,1.0,1.0,1.0,1.0,1.5601448e-37,0.0,0.0,0.0,1.0
